col1,col2,col3,col4
90741863779041,-33880955124775,-89273260187812,P
95564392201130,-27464979196075,-73666137515532,y
6520923845827,-64927339120979,37428959116426,a
47543185212246,-90121230838379,20570207382442,Z
25790680280519,-71927841978269,-18153037020455,D
99892341369838,-64320083991286,82556364313545,X
96236912403840,-37266270060921,-93029494042161,K
33997369297332,-7168284836623,-14489648690728,c
74833960035421,-7835747809106,34269409810350,b
51478649214476,-46897546372642,93219462875905,R
18134910895729,-52499225084653,52955745793750,I
18047403252370,-72476188242746,63897900537189,m
30992346791924,-91912183741306,70570320521193,H
67248579622923,-73824715841924,57618831217765,K
97307859176683,-89368449303664,88018114132986,e
30574902811780,-5589791957899,35452922169029,w
83914392662525,-92613705350228,-23065840419717,g
59669318116680,-31606029014082,31811226554949,m
37627795554123,-3512216375365,-24116495424947,R
3233103787480,-32993052211851,-56462525100564,N
63250387690654,-79370811759666,751608009536,i
69143938042482,-61092878519090,61806815730557,a
70922027533524,-32658437787091,25695496143526,d
53631523574250,-28912033646686,59917945562245,y
12651482471890,-74122524599176,169357351214,T
89692545112660,-51862009126072,897633513931,x
524381044523,-63642362754770,-93080435744392,E
74428148973812,-86999092350219,83405709070790,k
27024768846170,-45136028435699,57179777285570,S
45748003100629,-71902268022136,75039282742979,u
88474334628178,-8178143930014,-50977077149323,F
40214986138371,-82175089935435,-44551646325214,n
58072453570286,-17308317869611,38473893997886,F
51480356640498,-20460256936011,22577490683530,w
49763530271331,-22728536820020,84666636694465,d
69641298492642,-44993127235860,36427764381180,o
92786678716177,-12110410545467,31311437982188,K
15609609371138,-45307588132016,70238787770076,R
46654301357264,-55417494861078,-11770936894786,s
6908158404567,-65369719800398,-16728145959672,D
29197226857097,-81677662476094,60959140242996,E
35109818617727,-73573791382874,62812679908413,N
68859560260545,-2375276053837,-96795434285571,O
57079915939958,-61456271600008,-43866327208301,H
62024539738456,-73540575667141,87207727665668,X
33231061594508,-81804810972562,47084953347120,i
4541495136661,-63572359832780,-29421823581793,l
34759790312243,-20121605903923,14920056862863,w
69557926626716,-17172985158386,26820446374569,u
10810412033321,-8851960463024,41108022273800,F
93259579479109,-90602828413549,26685969084561,u
67063196322689,-85860150274909,-51783753568399,R
25768939770496,-26865858374332,-82907535060363,L
84947194824523,-72907058935123,-71650435593633,L
85956352120823,-61655465029799,88747668764583,a
98999611370275,-73408277333554,-1427224608213,G
62288042510364,-89031716979592,-63982864156872,o
55926710850787,-70776882739670,-88178855024625,E
14534152963433,-97522087047129,13226786052504,e
61502473440232,-38037257743065,86746885425478,y
52065289469466,-3161425128012,78319970415399,m
82321036736914,-55846940428357,1867484284062,d
45185221941795,-66831587684200,51231286297498,E
6798126411915,-41044933123083,5333013880170,T
78442886555048,-6679905676396,14129710560729,B
64846677533729,-54810092538440,42293871008043,P
5723400019388,-70611110738107,-47585678308378,z
32936412310024,-15152578473495,90203221057221,y
24206835193165,-30186805731563,-61019145191963,K
89429993446366,-54747392383700,1961224956541,y
59528330422912,-70172252989057,-25372642544090,v
43886619346347,-2366324847077,17453789025405,P
27377933405038,-55551495263178,-47020839732166,u
59477429816480,-56340536054079,91179537896754,s
88731413009077,-46499269064520,-21892147174843,Z
53519762839522,-70339220845727,41643822685037,P
76372157353810,-88059387862130,48679051617854,C
78324328040155,-87527595071762,48666285920926,W
94552329101790,-68207926535467,-31330342784123,q
85170113078433,-56298192543642,-78238874879029,W
61776835086885,-62998285113077,18486568483903,Z
91746789363215,-40875945402175,-36872945002595,g
60205888206700,-15626237930235,9883717270944,o
44904647176671,-79940078510996,87788340612524,I
82282733980951,-6283218578095,82844679553852,j
74260478469787,-96007970977026,-92644779552560,V
70196060006418,-34492396689312,-7789253741986,v
83965820789224,-3656042574369,25125779144695,i
50464338841853,-36139453980704,-8518388068117,S
37877368840106,-67166458296754,-36740447023629,v
53297088613906,-73852460676564,-58856083844689,Y
58014980043999,-99214086309630,-81124603676022,Q
1200699218249,-31951923266811,-53236035320952,X
14526504182605,-63969156733804,18853336500297,z
11791945058620,-16368726504273,-59679926362947,d
42213541946516,-59564950593758,-38543372657850,O
44307920875172,-91210960255716,-87220760751617,J
71377591721890,-64084627993913,36942891712138,G
15782890407260,-96247746571582,-55335437724894,G
924853633360,-85079186477875,35747749417160,x
46231038742598,-64397848128583,1309673376068,u
65556554961364,-82218957344360,1127205194940,I
70206419046287,-88332619199462,464580099463,Y
87207432897174,-42163555336173,-20731438767197,O
8104997139035,-29322410121663,-93341233519660,K
57999420193850,-36323787590911,29918750668242,g
25847551420603,-99569760436032,42774306248758,e
87044553551124,-53861511748172,-10388895968696,a
86564701744874,-58403017002835,-74627933932721,g
47014444555438,-88137154822807,54641182827093,T
58200229643353,-39005471310791,6860111895190,L
99612566588725,-15526198912230,57132136743940,M
69050871963525,-62416032726324,-79628519785365,T
56576716507066,-87654647921318,17170059488104,M
42781650195599,-29916969721273,-86135763721832,p
55129094832121,-46153299473778,-94455795691336,P
98750676944015,-34203010399865,44889435757546,s
44590547390303,-56231964369479,-93552343733566,k
76686227361149,-6637525324147,39847598926941,Z
18144682070466,-78304578149185,-32422135336859,X
97206864058576,-12995697618531,-17293427696709,y
86093718308711,-4284117298219,62698256781766,c
39021130009109,-50012569789863,92372054452566,M
24435948848110,-22473301091357,38393299897068,f
72009796167010,-7980489571386,-84613111357569,D
83679697469455,-28563908365116,54259693796114,r
74258362875539,-29664171367091,-13963263969338,W
41728382113436,-27039778346651,-62192246922453,M
2971526111182,-30243063163207,87753869584947,F
43178740202907,-28436680875995,33204907365318,B
22698822222565,-61459686725501,30379995349226,l
74427642698516,-39996721566893,18114601456412,o
39685989904704,-56824782539925,-54076341647246,b
33348537798673,-64203918946119,-4314835015055,T
93347292170705,-61671876217798,98658365009986,u
55310963920431,-80817334614483,23925287987931,j
51467281730823,-32643553070294,23972800368845,t
56203265696765,-82747619936263,-95209249412928,C
94089673839334,-74637934658281,88164536682240,v
63333661437072,-59804663168838,85366148575309,D
96259393272421,-47420574790921,33526645496973,P
4426282558799,-28053545096335,58269869253319,X
65814741473986,-64759000286153,99345651618757,N
31957878777829,-81684212395302,-95966500402047,S
13365675405040,-50049932489510,-27841493143468,r
47430904157231,-40554649828275,99710297359644,P
84040002091082,-12319909207130,-32429043370832,d
58614958577342,-87701639120481,35231111413802,S
5053565040555,-41579671159618,-86243571098123,M
25434193270370,-71291395024762,51726582312043,v
5683145767359,-27266788703468,82519503995735,E
83922598353309,-20429142074119,24038199805955,V
28611577788112,-57010113070725,20135061134256,R
21959632688671,-7471927559609,-34760151323261,B
81777638620299,-56556134068968,-1176875292020,C
20021832047690,-95306735937916,-14013279594705,i
39731087381256,-82925670747987,-41490889070913,p
49920145628788,-34801868332466,31874580185960,R
44522965611564,-25839033105328,-20857688380916,Q
28147601990331,-19754387551654,-74403943970814,T
90025122627938,-47217620918335,87478983931132,q
2901533101151,-21994720982835,13443696506869,l
94635562089647,-32089004991849,-61284887268643,L
21105998042593,-56545620147079,6731819530459,Y
25491686185088,-44369892212477,-36251178276678,J
68268305137486,-72825229946628,12471795791158,K
12222193367420,-41358174993480,-68465934403496,Z
1628764715268,-75744934499942,85207082931584,Z
96590676565925,-53889488231483,-68343838053257,O
10412449115670,-83656152533921,-81026744039512,K
72719875303359,-47290161532823,71322678008456,x
48474943166865,-92317642976610,59142508056688,k
71845731036748,-78859751711324,-89709338856870,R
57013950312075,-10345740540904,71123101533218,s
93581617313628,-15765701212412,39066542543359,e
32381036381859,-81523796486657,-83155463486537,m
60999232741635,-61597136711688,68619856651583,t
52059601644378,-57452446203524,-29703351542045,j
52530057392287,-35050744991465,27163928540979,z
10478145045324,-54387909491203,-98960342726991,W
65467027016767,-63521433167758,-4218072677271,R
30228020581269,-39813247237799,19682786917491,A
43095720883904,-38312988107160,67986658564974,B
92857168860325,-18272889853096,14089386783892,N
29073518675507,-81045017576573,15195479179676,V
90193919913886,-84984097271796,18281726974128,q
84479523755894,-37851361368392,1459493570066,l
19082216588532,-99774556637131,-48913434681865,S
84727559744671,-54753546779528,-38551233015918,W
44285120081746,-4235325494128,77181615281354,B
41935557953425,-95895904872612,-5578709309370,V
80098604840872,-91320896985785,-85326436064441,c
10080053297664,-3206273026105,-21585022425759,M
96875097752557,-31251005616397,-39375443583719,O
41729426533613,-49776193536917,57548031178639,w
9411130053848,-22895925298645,-21825622122896,O
69189877879457,-81287064873424,92816362026408,w
30185143893033,-55838465470582,-17018690879963,m
61025027646350,-44072175640656,-36852508987060,m
2391938343205,-93661046762986,66248623716686,n
85448573199967,-64077382695784,-5554310415009,H
38771501345009,-53616940112117,-21533288376554,U
24656142258440,-33615044927155,18195581807512,X
25849028374940,-79294374732081,25382438807380,p
50085460284535,-29172755840015,88323317841859,W
42603290502675,-41859733435819,55401855796419,B
65298442843211,-68531974948074,-25756409802784,X
80813343230074,-62867759871819,-62047628059573,D
29205536820288,-42227470093585,55623173800247,b
25006882320912,-95767216017892,788444477355,E
55562133427051,-47549082073133,96384501277951,X
83475513242248,-97173195917490,80483868939924,X
54488865760514,-35058503195145,10113026834066,n
42397681624752,-23080964630650,-53276953042945,d
83113655427560,-39017490480391,25418537580940,Q
72700463732329,-90092302310212,20692349880897,m
63065310976512,-68786246803770,1792705349068,O
1852033602838,-21670897724841,-33624565666656,o
51688635821362,-93614744257620,-55955315345265,G
27077045808330,-20982511132124,-74577657473834,W
70685425937016,-63980407568801,4682438547486,L
45561916977392,-40532961686672,82426668423561,f
30021677134663,-19004935325807,5859046641219,E
43683097882971,-76088853587413,-34999158754134,F
77580860443064,-56796814144728,-52666654758180,b
88678984583553,-80177140475146,-65647772813088,r
34273663751043,-44024578941880,40867223368644,M
94270850977416,-99174473325076,92734738932677,N
51573048948219,-14875637301075,-4944291790575,r
20218768524852,-21648285495334,-59661089353254,n
54089822728308,-16352902316458,50555836424884,B
39422141555773,-19980724389607,-3475959091527,d
32038140793344,-95770836929095,-8925853091608,P
43988593224657,-12505744499224,813922846036,V
83807075739403,-21910036670704,16353039341551,l
81377381030485,-46755683621744,-66244146861099,o
21588546911595,-77364520246315,33192479081064,i
13852012369773,-45972365995914,12605103376621,g
9543570855172,-15582343153602,-91934034694772,C
70965676061726,-36593521479671,43556687422699,q
41980697250304,-64150337874686,-58572851420365,f
2741250169213,-77810897608921,62294083781339,E
36016315025413,-90663766460512,-83943738479960,E
76753087581591,-28532004145767,9401142070807,x
12284324539246,-80441869813711,-41026430871942,x
36479799994067,-72236763434681,91642324482103,j
1560678127479,-29548956830125,56669415833793,g
27988774541920,-27891404243641,96896000084443,R
97063861788548,-22106775066042,32462677438432,W
66160913493767,-48643996794959,-74907177307641,I
19024574138710,-35970811887387,-46676808764190,c
67398882490767,-50151302766215,86081889582189,m
90869713301029,-47425579179845,8998663959712,g
19655579121081,-87453473343452,-15961377550361,L
38439532577202,-38089690339119,-40910597292761,K
59324495562663,-47703468731516,-86006083488213,g
23887372568804,-45445167232741,-8918401884336,m
90225950092521,-84377631109872,-20220448742358,L
60777002115342,-59689647052813,19482911983824,O
96682959958454,-63717803081164,25270168338962,n
31858781369476,-24532144047685,57263229230910,h
98958721689898,-68030880504763,-647687255775,Z
16645600922955,-64981031826667,-76867706411990,C
26378576544982,-53685400260136,2245792166284,K
51564760551454,-54948907252197,-63361837037247,i
59269781403816,-35163716360140,-18426114832010,y
97394214602500,-98558598843023,-52116367301579,d
78744945578884,-47585492139890,-70926093713195,A
82837914884326,-98955638394110,-18555716801606,l
27938124631015,-75680766772820,64168571543742,v
87460900602780,-64294952805933,92505598377749,C
53681626345163,-32257360617085,-28675376495141,y
43903152799897,-20183957075583,-82676709520314,H
55366767322700,-32948523433087,12571647157771,w
47664042439082,-55339974844945,74799314975951,u
84035540489109,-33763190998090,88434660933084,S
38391957885974,-54895728237971,45171646529685,F
69256504348156,-44810042092368,75406637075333,k
87536625285057,-56518967594159,-30731831883498,w
80508477060234,-8564599116568,-42526044053673,k
51458743003955,-90277703177061,65620588203018,A
30388493101627,-28978533745480,-86949052203212,W
72962301022122,-1191562576190,-46837745208101,Z
5633956531888,-48547446305206,41094250588018,W
78193231789107,-58850013044586,9098620305189,j
2412827148006,-27779193017062,-16170610674914,C
43721560152190,-18029396445106,65070055245973,c
16773822362836,-85435657451775,59745647259038,c
92912498464087,-39126669719339,7811851723803,v
76012441517851,-20708104860825,-83657585744694,a
80259822630430,-12316258524309,93657494125500,i
84248606134212,-29636803061535,-15239930752572,v
49281914316907,-2472965892943,-75064190759302,D
80462365840088,-10813053737012,-25829484305829,r
3180403487263,-18657000280564,-55948599700377,q
19009964658028,-55351201863980,41077590565756,U
37729396124368,-57114694410520,-4363297990287,E
54564537804946,-30180743150478,-46591970210534,l
56755076241634,-27321840212024,51695492405170,Z
99293133306789,-83496596562251,63790839816413,s
36709507354712,-22780394159859,30341839172665,k
79262900630538,-14706262647700,-274626369999,S
8757908515996,-19445636785457,-46025665421779,s
56425983109852,-64135663236054,-37583268967396,n
35019815059084,-57282081577465,-17148137058937,D
25204491991438,-56432742581961,-69088077889564,f
82101989319579,-27664368420253,80893531318355,w
11887960757667,-22166678373508,-47133899800137,P
66496287379649,-61568563485351,31995847758867,g
37484153840963,-44143288883317,24403305163485,z
88851662274747,-37352100570831,-72975336593693,Z
46066016892704,-38588867764797,-25128060666301,F
46057558669253,-89332755641545,-58895856436049,p
59890539813930,-89053010412993,-94647399628462,J
6282651239158,-57652339124111,-4116983515478,o
22914389141376,-42263749943277,-12707380433747,X
11900778887368,-41388194331858,75986895953026,e
78370140378157,-4560993853542,89531203505974,F
10402835027355,-53758386879388,-51235436249260,D
6365819596450,-57137894241111,-54221449504627,L
94262475565469,-89840906740439,-42626614916744,j
70726028615223,-31044175244773,4218462536390,j
38042972768797,-50060124132600,-98711974405834,j
56311794922816,-65280575979891,91387875028326,K
84215279787275,-67579129770180,-34270386696013,P
82426161193318,-84308771925808,74830240381170,y
55262260781652,-21788373678784,-83146403838409,N
17104214182041,-10500567593597,-61363261229485,i
39006659914011,-25068460436898,41352901237468,a
54997981413754,-75515011167311,-9127956479500,b
89106143636103,-9099681611455,-26689078775660,S
81798271697591,-613697770692,84939515887181,h
41564199623050,-81881955586644,38466708959986,U
99853361562053,-19311631354845,12032536711424,V
43428432231616,-67264758623575,63883734700130,F
96671862734873,-3846188787015,62594286132732,z
70667051328345,-98317095674287,-46488098800505,N
89411048564193,-3681002766679,-64483203484209,S
94375827547421,-2136617085696,33449789367399,u
50773978939636,-72532257955786,-28372127821642,T
86696517237226,-53717453086334,-25405573431725,u
78809598717196,-47313796266343,60787678706576,I
55846028239674,-11890052161440,83966081681149,H
26758377715850,-813469511720,-6486233929308,t
44456950338,-55169018532844,-47816983558979,L
9281344859218,-20518692991339,94371725742648,B
49091810134926,-97020931878611,-2152757411490,D
62720847596720,-13634750790419,-30068985380331,y
50080693790242,-45186298848381,83727183383535,P
59303137976916,-24309024347963,13664197692715,S
6723893026763,-86417528531746,-27387642598834,U
28726069155638,-11458335224012,25193778973686,i
43832649622225,-73131455134152,-21795622238751,q
72465662369583,-5710446303640,-47321229140600,Y
12902822840137,-13546040738440,70083730016885,r
90576014778652,-83049587066413,60608979505425,B
70104938805830,-89646205556311,-90053369727109,M
22874750197730,-79292743146337,14275526191434,l
29026064573639,-13366483622584,59447747567950,n
64784912281444,-86712137541110,13393829287318,D
35453154557508,-54509430877644,25170326278162,r
96195409687808,-4666451742502,-47195040122645,q
8783896229297,-41927366556164,17354563927786,d
54381387126834,-13811652349056,36523452320640,D
97032919729389,-62423691453587,56004890222031,E
34983507594466,-42366627833320,-84908824715664,o
9683960801349,-35461731142970,13338886198533,l
72332795758796,-18711813734765,-63633789017106,R
31435769473783,-95908238285234,-17773531289376,e
8881560263604,-58540154357649,5621475593199,e
16686115787829,-97796387028049,-36498882346828,K
27015000607648,-21105180780789,88979459670050,Y
87210647003473,-37151828468191,70334738490003,k
54653873857698,-85095609227460,2634208184363,d
42059635680401,-62291594698646,-71689985658672,T
36443833583273,-68092766859105,26175125009034,z
67478680139869,-32935172257578,28926044910031,o
10735730622733,-13162072269343,-91955440141816,x
93894542254070,-4905136098375,79627949656944,T
57239707525423,-912582247145,38942206508375,R
4608347832531,-19213219527319,-51026239449054,j
74576366853412,-1454018637555,-27544113628677,F
13189036248543,-30751252582650,13678194232107,I
53103314269054,-34537359896675,21326097979871,g
6430238667555,-7420897695646,-55293283385060,Y
2913666282152,-34472277380053,58352390603136,p
62109385506576,-67536218067955,62156252914413,d
88450554375296,-14531831077321,-77957171689914,O
86086642857035,-72891378344857,-2019471927538,z
139019176244,-87627887470500,4514451676358,s
17306033957192,-26958790054677,-75383211039692,z
1790101189198,-48582271572803,29099438844885,T
33850543820428,-27619799775426,-70637923935759,c
41929246942892,-18416821809800,-80663917211780,T
84594166158100,-46486748539098,2589899343084,o
54699689073817,-69634418751731,-40861671005665,W
99460667987267,-57160799689282,48421738154343,x
83426615131639,-79014100398285,-86585608150796,o
47949583744724,-3425329465382,46674922296668,L
38711200045729,-85558850332170,2090782253172,c
67103170852761,-20824990928702,80728590339058,R
2681645955470,-6181386869719,-26915026687580,x
31879390824641,-74577408596465,-47628603221948,L
82912376545982,-34473577218,-82777766287334,r
95845757815809,-51265099880523,32822245811114,x
81060146584880,-99024884025572,-89525198704640,F
29455800718896,-25657919560922,79286162616809,p
73374408729984,-49545910317936,47317070572685,P
95520423735206,-13941005804500,-56133037454819,h
98084037061625,-53538739215929,-22574143908412,N
37072423200441,-94150507820370,-63478823918602,F
79332887107012,-43391928374346,-37518755204915,Y
35793485831912,-12696777563244,-44091482330387,O
95219212254797,-79967533827443,-55858645773040,k
48859238080781,-7803170683186,-97738921142980,W
62994610865456,-12440652964619,-80591535189890,E
61023492530069,-77513328666420,-9108955062610,X
97277128049137,-414851112326,79949173756420,X
8014666968394,-46351868232859,-17072426895889,T
25729679701104,-80080008827986,609500749897,R
60559403192599,-84913791477474,75428546744284,s
1737706172620,-14936689720769,47267805114616,q
58630052761610,-4342455980731,-6748998365485,L
1277458190882,-76194618072062,-92872980157855,Z
49745424348932,-91560407139440,19587713129807,p
96466703635520,-3738092780414,71696266494789,O
76041768451462,-81630539539946,52024585087851,T
68983255314109,-17357709135770,-26713808273392,H
44378836449249,-77478711514673,-45252697724936,V
37913080517826,-92693852346121,-96247356883087,Q
4805505342581,-29531848282729,-89558513675109,V
95751062179827,-38142841010096,33433683609783,T
42456985450769,-79501566312534,69360110976369,b
85958983837544,-42364284569097,15984685524773,c
1117321832355,-31548443276197,45790323338845,B
34769657619092,-57007374310735,51871554514283,l
34645111659995,-52768562274265,17758238023068,C
22599554860415,-93646687094316,-22425067242185,V
39218243001567,-32997788202187,95554560897214,d
32524081092374,-41715724852671,56985613137506,Q
63786334041588,-98254937161391,-69471631701182,O
17842484691782,-12486485509204,-824195951852,y
5260355720408,-9090101431523,40741925449832,r
82891121301223,-80194124786641,-1276638185993,K
4757085760102,-60674571770230,-2266130499262,L
49101624354159,-58652725814730,10395234263917,D
99367179804302,-636698168269,-74112929514028,s
91542638522113,-93618375050045,15558418719172,f
10029105725269,-46245253265966,-52148065900994,A
57279692106692,-10260957051590,-12494915123319,I
8682545356417,-92609746069338,28968317189742,L
15826515189372,-32457686003523,51238928080028,h
57663480588838,-1902799470947,76541018525595,n
88293701915877,-51670486705215,-29456205696355,X
35325817572554,-93195933860420,47868874762830,Z
64988824345201,-26697925085848,3961232167177,R
40423619527260,-61079578551365,93345986676791,h
89960620335366,-39659458599920,-49167124549080,m
1031287102772,-46708374330691,-47377355439707,M
79599845538200,-13253905115111,-71387665839023,r
29396169847892,-66129822942711,-76679633265456,f
29720488058561,-58145837336291,42165517902482,D
72341605173875,-81161829945169,47676004710908,W
25424061261798,-32475576848434,46660117268482,z
91486984923395,-59259827257500,63674068546336,y
949992454097,-96315079152884,-5554732516106,G
92146295341986,-46743187546301,95414126897138,C
51514313912390,-1825130013060,-32465556703394,j
38480879527236,-47341112006729,20651206260943,E
90130152981881,-67336766898031,79400207994350,e
29723935242612,-40937399013596,28403649471727,I
39671664392746,-25995662896737,34428794890991,F
35748511736700,-62387672892784,-12848882242422,n
57377020150520,-51514076526996,88043533622418,T
51190902499045,-50463354516563,57241206376711,s
62443209433671,-88337923840897,-35321013499039,z
21111182668960,-1051054986223,-62976658238494,J
38519476795501,-72658621262690,64040615511767,U
5011848304559,-72035194479144,-29646487444804,l
14987730713580,-69781824809826,-51028557829126,E
41779908691276,-16794388313260,-59753613915460,d
31591228375648,-33054521250813,17639213816880,J
99050232903021,-95711469826508,65621421002136,X
4764824638111,-24284899613347,-13308046940942,c
11217288424296,-76771990391872,-42214231063320,z
81038412394978,-16186744346654,57236310272299,Y
37294610258135,-18930630330309,13425609823751,J
1921212277216,-6994540231415,-49047175124174,m
24280080434791,-25886157178176,-41799264223281,Z
26380903743817,-7911411175744,28244489344788,T
96946933232119,-78651764136035,42239984394964,y
24975827764763,-37169727060793,96297617005461,U
6791961015560,-88132048340636,86675653370334,k
30184264950181,-27971528166873,-94576494140542,I
5516585476598,-35945585888797,-68951785971272,R
59597720688536,-68478900223836,-45768556413059,i
26214812312948,-19094612745296,-19306586810631,C
89021275657084,-84915259452522,-646681622064,k
59204577473682,-77132075439128,-54793825640404,s
28715591228851,-98876596848877,9611033601234,L
2681648555742,-49359813947813,94517878103879,F
54226300000846,-46323035531589,-2891948651190,y
73496432694778,-81816672515660,-80151013816009,I
4166655200921,-33185356797713,-54593826377100,C
63434475006799,-19931819385084,13830296502771,P
50423447284765,-67310995389620,-69188756308033,L
23089512386369,-24227684396400,-4225580242058,N
68714483523500,-62429611249122,51279849485630,M
